player.id,player.name,player.pos,player.grid,player.type,team,formation,fixture.id
15605,F. Bessone,coach,,coach,Atlètic Club d'Escaldes,4-3-3,1034678
187335,Saúl Gracia,G,1:1,holder,Atlètic Club d'Escaldes,4-3-3,1034678
231083,Víctor Maffeo,D,2:4,holder,Atlètic Club d'Escaldes,4-3-3,1034678
270474,Álex Sánchez,D,2:3,holder,Atlètic Club d'Escaldes,4-3-3,1034678
182691,Javi Morales,D,2:2,holder,Atlètic Club d'Escaldes,4-3-3,1034678
122740,J. Torres,D,2:1,holder,Atlètic Club d'Escaldes,4-3-3,1034678
5115,Hamza Ryahi,M,3:3,holder,Atlètic Club d'Escaldes,4-3-3,1034678
69913,Víctor Pérez,M,3:2,holder,Atlètic Club d'Escaldes,4-3-3,1034678
115296,Martí Riverola,M,3:1,holder,Atlètic Club d'Escaldes,4-3-3,1034678
46955,Víctor Casadesús,F,4:3,holder,Atlètic Club d'Escaldes,4-3-3,1034678
302196,Rodrigo Piloto,F,4:2,holder,Atlètic Club d'Escaldes,4-3-3,1034678
34626,M. Coureur,F,4:1,holder,Atlètic Club d'Escaldes,4-3-3,1034678
122616,Víctor Alonso,M,,substitute,Atlètic Club d'Escaldes,4-3-3,1034678
179438,G. López,F,,substitute,Atlètic Club d'Escaldes,4-3-3,1034678
292563,David Rodríguez,D,,substitute,Atlètic Club d'Escaldes,4-3-3,1034678
304572,Víctor López,G,,substitute,Atlètic Club d'Escaldes,4-3-3,1034678
187984,Alberto Rabassó,F,,substitute,Atlètic Club d'Escaldes,4-3-3,1034678
183855,Marcel Sgrò,D,,substitute,Atlètic Club d'Escaldes,4-3-3,1034678
424455,Ilde Serrano,G,,substitute,Atlètic Club d'Escaldes,4-3-3,1034678
17989,M. Džudović,coach,,coach,Buducnost Podgorica,4-2-3-1,1034678
67040,Đ. Pavličić,G,1:1,holder,Buducnost Podgorica,4-2-3-1,1034678
68475,U. Ignjatović,D,2:4,holder,Buducnost Podgorica,4-2-3-1,1034678
293551,D. Dakić,D,2:3,holder,Buducnost Podgorica,4-2-3-1,1034678
66801,Z. Ceklić,D,2:2,holder,Buducnost Podgorica,4-2-3-1,1034678
66827,I. Novović,D,2:1,holder,Buducnost Podgorica,4-2-3-1,1034678
66863,M. Đuričković,M,3:2,holder,Buducnost Podgorica,4-2-3-1,1034678
41947,M. Pavlovski,M,3:1,holder,Buducnost Podgorica,4-2-3-1,1034678
66692,Stephano Almeida,F,4:3,holder,Buducnost Podgorica,4-2-3-1,1034678
339872,Vasilije Adžić,M,4:2,holder,Buducnost Podgorica,4-2-3-1,1034678
45779,P. Grbić,F,4:1,holder,Buducnost Podgorica,4-2-3-1,1034678
66845,B. Sekulić,F,5:1,holder,Buducnost Podgorica,4-2-3-1,1034678
55870,L. Mirković,M,,substitute,Buducnost Podgorica,4-2-3-1,1034678
66839,O. Gašević,F,,substitute,Buducnost Podgorica,4-2-3-1,1034678
66832,M. Brnović,M,,substitute,Buducnost Podgorica,4-2-3-1,1034678
305857,V. Perišić,M,,substitute,Buducnost Podgorica,4-2-3-1,1034678
264160,J. Dašić,M,,substitute,Buducnost Podgorica,4-2-3-1,1034678
339863,M. Perović,F,,substitute,Buducnost Podgorica,4-2-3-1,1034678
67030,P. Sekulović,M,,substitute,Buducnost Podgorica,4-2-3-1,1034678
319446,F. Domazetović,G,,substitute,Buducnost Podgorica,4-2-3-1,1034678
66771,M. Dragojević,G,,substitute,Buducnost Podgorica,4-2-3-1,1034678
133438,M. Mrvaljević,F,,substitute,Buducnost Podgorica,4-2-3-1,1034678
34567,Vladan Adžić,D,,substitute,Buducnost Podgorica,4-2-3-1,1034678
346932,N. Vuković,,,substitute,Buducnost Podgorica,4-2-3-1,1034678
2484,S. Ceci,coach,,coach,Tre Penne,3-5-2,1034679
80722,M. Migani,G,1:1,holder,Tre Penne,3-5-2,1034679
209495,N. Bellucci,D,2:3,holder,Tre Penne,3-5-2,1034679
148112,R. Rosini,D,2:2,holder,Tre Penne,3-5-2,1034679
305910,A. Barretta,D,2:1,holder,Tre Penne,3-5-2,1034679
122157,G. Nigretti,D,3:5,holder,Tre Penne,3-5-2,1034679
147733,A. Fall,M,3:4,holder,Tre Penne,3-5-2,1034679
56878,A. De Falco,M,3:3,holder,Tre Penne,3-5-2,1034679
424462,M. Scarponi,M,3:2,holder,Tre Penne,3-5-2,1034679
306015,P. Tamagnini,M,3:1,holder,Tre Penne,3-5-2,1034679
123122,I. Badalassi,F,4:2,holder,Tre Penne,3-5-2,1034679
80727,L. Ceccaroli,F,4:1,holder,Tre Penne,3-5-2,1034679
270711,R. Pieri,F,,substitute,Tre Penne,3-5-2,1034679
107073,L. Dormi,M,,substitute,Tre Penne,3-5-2,1034679
56095,D. Cesarini,D,,substitute,Tre Penne,3-5-2,1034679
123135,F. Giovagnoli,M,,substitute,Tre Penne,3-5-2,1034679
404469,M. Stellato,F,,substitute,Tre Penne,3-5-2,1034679
80729,G. Zafferani,M,,substitute,Tre Penne,3-5-2,1034679
388289,M. Malagoli,F,,substitute,Tre Penne,3-5-2,1034679
404470,G. Maio,D,,substitute,Tre Penne,3-5-2,1034679
56663,A. Bianchini,G,,substitute,Tre Penne,3-5-2,1034679
11300,Ó. Þorvaldsson,coach,,coach,Breidablik,4-3-3,1034679
28844,A. Einarsson,G,1:1,holder,Breidablik,4-3-3,1034679
28726,H. Gunnlaugsson,M,2:4,holder,Breidablik,4-3-3,1034679
28722,D. Muminović,D,2:3,holder,Breidablik,4-3-3,1034679
48191,O. Stefánsson,D,2:2,holder,Breidablik,4-3-3,1034679
28727,D. Ingvarsson,M,2:1,holder,Breidablik,4-3-3,1034679
28739,A. Sigurðarson,M,3:3,holder,Breidablik,4-3-3,1034679
39070,O. Sigurjónsson,M,3:2,holder,Breidablik,4-3-3,1034679
28811,Á. Hlynsson,F,3:1,holder,Breidablik,4-3-3,1034679
28725,V. Einarsson,M,4:3,holder,Breidablik,4-3-3,1034679
55999,K. Olsen,F,4:2,holder,Breidablik,4-3-3,1034679
47719,G. Eyjólfsson,M,4:1,holder,Breidablik,4-3-3,1034679
147911,A. Lúðvíksson,M,,substitute,Breidablik,4-3-3,1034679
28730,V. Margeirsson,M,,substitute,Breidablik,4-3-3,1034679
133602,S. Sigurðarson,F,,substitute,Breidablik,4-3-3,1034679
28755,K. Steindórsson,M,,substitute,Breidablik,4-3-3,1034679
61641,J. Svanþórsson,F,,substitute,Breidablik,4-3-3,1034679
28669,A. Aðalsteinsson,D,,substitute,Breidablik,4-3-3,1034679
416097,Á. Orrason,D,,substitute,Breidablik,4-3-3,1034679
61650,B. Bragason,G,,substitute,Breidablik,4-3-3,1034679
321803,Á. Þorsteinsson,M,,substitute,Breidablik,4-3-3,1034679
61585,A. Elísson,M,,substitute,Breidablik,4-3-3,1034679
28734,A. Yeoman,M,,substitute,Breidablik,4-3-3,1034679
424463,A. Gunnarsson,M,,substitute,Breidablik,4-3-3,1034679
17989,M. Džudović,coach,,coach,Buducnost Podgorica,4-2-3-1,1042850
