fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,fixture.status.extra,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,league.standings,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
1126156,F. Zwayer,UTC,2023-09-20T19:00:00+00:00,1695236400,1695236400,1695240000,494.0,Emirates Stadium,London,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Group B - 1,True,42,Arsenal,https://media.api-sports.io/football/teams/42.png,True,197,PSV Eindhoven,https://media.api-sports.io/football/teams/197.png,False,4,0,3,0,4,0,,,,
1126154,G. Nyberg,UTC,2023-09-20T19:00:00+00:00,1695236400,1695236400,1695240000,700.0,Allianz Arena,München,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Group A - 1,True,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,True,33,Manchester United,https://media.api-sports.io/football/teams/33.png,False,4,3,2,0,4,3,,,,
1126158,H. Meler,UTC,2023-09-20T19:00:00+00:00,1695236400,1695236400,1695240000,,Estádio do Sport Lisboa e Benfica,Lisboa,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Group D - 1,True,211,Benfica,https://media.api-sports.io/football/teams/211.png,False,571,Red Bull Salzburg,https://media.api-sports.io/football/teams/571.png,True,0,2,0,1,0,2,,,,
1126157,S. Gözübüyük,UTC,2023-09-20T19:00:00+00:00,1695236400,1695236400,1695240000,1291.0,Estádio Municipal de Braga,Braga,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Group C - 1,True,217,SC Braga,https://media.api-sports.io/football/teams/217.png,False,492,Napoli,https://media.api-sports.io/football/teams/492.png,True,1,2,0,1,1,2,,,,
1126155,T. Stieler,UTC,2023-09-20T19:00:00+00:00,1695236400,1695236400,1695240000,1494.0,Estadio Ramón Sánchez Pizjuán,Sevilla,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Group B - 1,True,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,116,Lens,https://media.api-sports.io/football/teams/116.png,,1,1,1,1,1,1,,,,
1126159,M. Oliver,UTC,2023-09-20T19:00:00+00:00,1695236400,1695236400,1695240000,1491.0,Reale Arena,Donostia-San Sebastián,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Group D - 1,True,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,,505,Inter,https://media.api-sports.io/football/teams/505.png,,1,1,1,0,1,1,,,,
1126160,S. Jovanović,UTC,2023-10-03T16:45:00+00:00,1696351500,1696351500,1696355100,694.0,Olympiastadion Berlin,Berlin,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Group C - 2,True,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,False,217,SC Braga,https://media.api-sports.io/football/teams/217.png,True,2,3,2,1,2,3,,,,
1126161,B. Frankowski,UTC,2023-10-03T16:45:00+00:00,1696351500,1696351500,1696355100,148.0,Red Bull Arena,Wals-Siezenheim,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Group D - 2,True,571,Red Bull Salzburg,https://media.api-sports.io/football/teams/571.png,False,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,True,0,2,0,2,0,2,,,,
1126162,I. Kružliak,UTC,2023-10-03T19:00:00+00:00,1696359600,1696359600,1696363200,556.0,Old Trafford,Manchester,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Group A - 2,True,33,Manchester United,https://media.api-sports.io/football/teams/33.png,False,645,Galatasaray,https://media.api-sports.io/football/teams/645.png,True,2,3,1,1,2,3,,,,
1126164,M. Guida,UTC,2023-10-03T19:00:00+00:00,1696359600,1696359600,1696363200,654.0,Stade Bollaert-Delelis,Lens,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Group B - 2,True,116,Lens,https://media.api-sports.io/football/teams/116.png,True,42,Arsenal,https://media.api-sports.io/football/teams/42.png,False,2,1,1,1,2,1,,,,
