offsides,games.minutes,games.number,games.position,games.rating,games.captain,games.substitute,shots.total,shots.on,goals.total,goals.conceded,goals.assists,goals.saves,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,dribbles.past,fouls.drawn,fouls.committed,cards.yellow,cards.red,penalty.won,penalty.commited,penalty.scored,penalty.missed,penalty.saved,player.id,player.name,fixture.id
,90.0,95,G,6.7,False,False,,,,2,,4.0,29.0,,13,,,,,,,,,,,0,0,,,0,0,0.0,9074,Vedran Kjoševski,1036619
,90.0,6,D,6.7,False,False,1.0,,,0,,,37.0,,27,1.0,,,7.0,4.0,,,,2.0,2.0,0,0,,,0,0,,72454,Medjit Neziri,1036619
,90.0,55,D,6.9,False,False,,,,0,,,23.0,,15,4.0,,,11.0,9.0,,,,,,0,0,,,0,0,,45660,Sava Radić,1036619
,81.0,16,D,6.3,False,False,,,,0,,,18.0,,12,,2.0,2.0,4.0,1.0,,,1.0,,1.0,1,0,,,0,0,,109614,Besart Krivanjeva,1036619
,90.0,33,D,6.7,False,False,,,,0,,,34.0,,24,2.0,,1.0,10.0,5.0,,,1.0,1.0,3.0,0,0,,,0,0,,74645,Vangjel Zguro,1036619
,85.0,24,M,7.2,False,False,,,,0,,,25.0,1.0,20,3.0,,2.0,9.0,7.0,2.0,2.0,,1.0,1.0,0,0,,,0,0,,3491,Edis Maliki,1036619
,90.0,10,M,6.9,False,False,,,,0,,,35.0,,28,4.0,,2.0,15.0,7.0,1.0,,1.0,2.0,3.0,0,0,,,0,0,,91616,Besmir Bojku,1036619
,90.0,11,M,6.9,True,False,1.0,1.0,,0,,,27.0,1.0,24,1.0,,,7.0,2.0,1.0,1.0,1.0,,1.0,0,0,,,0,0,,65479,Bunjamin Shabani,1036619
,90.0,5,M,6.6,False,False,2.0,,,0,,,35.0,2.0,27,,,,5.0,1.0,3.0,1.0,,,,0,0,,,0,0,,74530,Mentor Mazrekaj,1036619
,90.0,14,F,7.2,False,False,1.0,1.0,,0,,,19.0,3.0,13,,,,13.0,4.0,,,,2.0,1.0,0,0,1.0,,0,0,,105533,Marjan Radeski,1036619
,85.0,9,F,7.7,False,False,8.0,3.0,1.0,0,,,17.0,2.0,12,,,,21.0,9.0,7.0,4.0,,3.0,2.0,0,0,,,1,0,,56023,Besart Ibraimi,1036619
,9.0,77,F,6.2,False,True,,,,0,,,9.0,,3,,,,2.0,,,,,,,0,0,,,0,0,,158636,Valentin Kocoski,1036619
,14.0,19,D,6.3,False,True,,,,0,,,10.0,,9,1.0,,,5.0,2.0,2.0,1.0,,,1.0,1,0,,,0,0,,154895,Ard Kasami,1036619
,14.0,27,F,6.7,False,True,,,,0,,,4.0,,3,,,,4.0,1.0,,,,,1.0,0,0,,,0,0,,15625,Senad Jarović,1036619
