offsides,games.minutes,games.number,games.position,games.rating,games.captain,games.substitute,shots.total,shots.on,goals.total,goals.conceded,goals.assists,goals.saves,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,dribbles.past,fouls.drawn,fouls.committed,cards.yellow,cards.red,penalty.won,penalty.commited,penalty.scored,penalty.missed,penalty.saved,player.id,player.name,fixture.id
,90.0,1,G,7.5,False,False,,,,1,,4.0,27.0,,24,,,,,,,,,,,0,0,,,0,0,0.0,22157,Walter Benítez,1149520
,90.0,3,D,6.9,False,False,,,,0,,,39.0,2.0,31,2.0,,,7.0,2.0,1.0,,1.0,,1.0,0,0,,,0,0,,231,Jordan Teze,1149520
,90.0,22,D,6.7,False,False,,,,0,,,74.0,,69,,,,5.0,3.0,,,,1.0,1.0,0,0,,,0,0,,37890,Jerdy Schouten,1149520
,89.0,18,D,7.2,False,False,,,,0,,,72.0,,59,3.0,,,4.0,3.0,,,,,,0,0,,,0,0,,22160,Olivier Boscagli,1149520
,90.0,8,D,7,False,False,1.0,1.0,,0,,,46.0,,44,2.0,,,13.0,9.0,6.0,3.0,,4.0,1.0,0,0,,,0,0,,38735,Sergiño Dest,1149520
1.0,90.0,10,M,7.2,False,False,1.0,,,0,,,23.0,2.0,17,4.0,,2.0,16.0,8.0,4.0,,,4.0,,0,0,1.0,,0,0,,162037,Malik Tillman,1149520
,90.0,23,M,7,False,False,2.0,,,0,,,80.0,1.0,66,1.0,,1.0,6.0,3.0,1.0,1.0,1.0,,,0,0,,,0,0,,37749,Joey Veerman,1149520
,83.0,34,M,7.2,False,False,2.0,1.0,,0,,,27.0,1.0,20,1.0,,2.0,8.0,3.0,1.0,1.0,1.0,,2.0,0,0,,,0,0,,161897,Ismael Saibari,1149520
1.0,90.0,11,F,6.6,False,False,3.0,1.0,,0,,,30.0,1.0,24,,,2.0,5.0,2.0,2.0,,1.0,2.0,,0,0,,,0,0,,290549,Johan Bakayoko,1149520
,90.0,9,F,7.5,True,False,2.0,1.0,1.0,0,,,16.0,3.0,13,2.0,,,12.0,5.0,1.0,,,,1.0,0,0,,,1,0,,246,Luuk de Jong,1149520
,75.0,27,F,7.3,False,False,1.0,,,0,,,30.0,,26,1.0,,2.0,15.0,8.0,2.0,2.0,1.0,4.0,2.0,1,0,,,0,0,,248,Hirving Lozano,1149520
,15.0,14,F,6.7,False,True,,,,0,,,9.0,1.0,7,,,,,,,,,,,0,0,,,0,0,,73868,Ricardo Pepi,1149520
,14.0,17,D,6.2,False,True,,,,0,,,10.0,,8,,,,3.0,,1.0,,,,,0,0,,,0,0,,233,Mauro Júnior,1149520
,1.0,4,D,,False,True,,,,0,,,7.0,,4,,,,1.0,1.0,,,,,,0,0,,,0,0,,228,Armando Obispo,1149520
