team.id,team.name,team.code,team.country,team.founded,team.national,team.logo,venue.id,venue.name,venue.address,venue.city,venue.capacity,venue.surface,venue.image
33,Manchester United,MUN,England,1878.0,False,https://media.api-sports.io/football/teams/33.png,556,Old Trafford,Sir Matt Busby Way,Manchester,76212,grass,https://media.api-sports.io/football/venues/556.png
34,Newcastle,NEW,England,1892.0,False,https://media.api-sports.io/football/teams/34.png,562,St. James' Park,St. James&apos; Street,Newcastle upon Tyne,52758,grass,https://media.api-sports.io/football/venues/562.png
42,Arsenal,ARS,England,1886.0,False,https://media.api-sports.io/football/teams/42.png,494,Emirates Stadium,Queensland Road,London,60383,grass,https://media.api-sports.io/football/venues/494.png
50,Manchester City,MAC,England,1880.0,False,https://media.api-sports.io/football/teams/50.png,555,Etihad Stadium,Rowsley Street,Manchester,55097,grass,https://media.api-sports.io/football/venues/555.png
81,Marseille,MAR,France,1899.0,False,https://media.api-sports.io/football/teams/81.png,12678,Stade Orange Vélodrome,"3, boulevard Michelet",Marseille,67394,grass,https://media.api-sports.io/football/venues/12678.png
85,Paris Saint Germain,PAR,France,1970.0,False,https://media.api-sports.io/football/teams/85.png,671,Parc des Princes,"24, rue du Commandant Guilbaud",Paris,47929,grass,https://media.api-sports.io/football/venues/671.png
116,Lens,LEN,France,1906.0,False,https://media.api-sports.io/football/teams/116.png,654,Stade Bollaert-Delelis,"83, rue Maurice-Carton",Lens,41233,grass,https://media.api-sports.io/football/venues/654.png
157,Bayern München,BAY,Germany,1900.0,False,https://media.api-sports.io/football/teams/157.png,20732,Fußball Arena München,Werner-Heisenberg-Allee 25,München,75024,grass,https://media.api-sports.io/football/venues/20732.png
165,Borussia Dortmund,DOR,Germany,1909.0,False,https://media.api-sports.io/football/teams/165.png,20733,BVB Stadion Dortmund,Strobelalle 50,Dortmund,81365,grass,https://media.api-sports.io/football/venues/20733.png
173,RB Leipzig,LEI,Germany,2009.0,False,https://media.api-sports.io/football/teams/173.png,20737,Leipzig Stadium,Am Sportforum 3,Leipzig,47069,grass,https://media.api-sports.io/football/venues/20737.png
182,Union Berlin,UNI,Germany,1966.0,False,https://media.api-sports.io/football/teams/182.png,748,Stadion An der Alten Försterei,"Hämmerlingstraße 80-88, Köpenick",Berlin,22467,grass,https://media.api-sports.io/football/venues/748.png
197,PSV Eindhoven,PSV,Netherlands,1913.0,False,https://media.api-sports.io/football/teams/197.png,1143,Philips Stadion,Frederiklaan 10,Eindhoven,36500,grass,https://media.api-sports.io/football/venues/1143.png
209,Feyenoord,FEY,Netherlands,1908.0,False,https://media.api-sports.io/football/teams/209.png,1128,Stadion Feijenoord,Van Zandvlietplein 1,Rotterdam,51117,grass,https://media.api-sports.io/football/venues/1128.png
211,Benfica,BEN,Portugal,1904.0,False,https://media.api-sports.io/football/teams/211.png,1265,Estádio do Sport Lisboa e Benfica (da Luz),Rua José Maria Nicolau,Lisboa,65647,grass,https://media.api-sports.io/football/venues/1265.png
212,FC Porto,POR,Portugal,1893.0,False,https://media.api-sports.io/football/teams/212.png,1286,Estádio Do Dragão,Via Futebol Clube do Porto,Porto,50399,grass,https://media.api-sports.io/football/venues/1286.png
217,SC Braga,BRA,Portugal,1921.0,False,https://media.api-sports.io/football/teams/217.png,1291,Estádio Municipal de Braga,Avenida do Estádio,Braga,30286,grass,https://media.api-sports.io/football/venues/1291.png
247,Celtic,CEL,Scotland,1888.0,False,https://media.api-sports.io/football/teams/247.png,1386,Celtic Park,18 Kerrydale Street,Glasgow,60832,grass,https://media.api-sports.io/football/venues/1386.png
257,Rangers,RAN,Scotland,1873.0,False,https://media.api-sports.io/football/teams/257.png,1401,Ibrox Stadium,150 Edmiston Drive,Glasgow,51082,grass,https://media.api-sports.io/football/venues/1401.png
276,Breidablik,BRE,Iceland,1950.0,False,https://media.api-sports.io/football/teams/276.png,820,Kópavogsvöllur,Dalsmára 5,Kópavogur,5501,grass,https://media.api-sports.io/football/venues/820.png
